word	tag	freq_A1	freq_A2	freq_B1	freq_B2	freq_C1	freq_C2	freq_total
grand-peine	ADV	0.0	0.0	0.0	1.7933	0.0	0.0	0.0482
grand-père	NOM	79.3866	0.606	8.6985	0.0	3.4423	0.0	15.2335
grand-tante	NOM	0.0	1.2017	0.0	0.0	0.0	0.0	0.0912
grandeur	NOM	0.0	3.9045	0.438	19.2521	4.139	19.328	6.7125
grandiose	ADJ	0.0	0.6008	0.6378	9.5948	3.4423	0.0	3.554
grandir	VER	0.9464	45.0661	30.438	19.5681	27.9938	162.4685	35.538
grandissant	ADJ	0.0	0.0	3.6048	1.2705	6.0005	0.0	2.4404
grands-parents	NOM	75.2797	12.7147	22.2256	4.5679	0.0	12.833	27.6295
grange	NOM	0.0	0.5781	0.1029	0.911	0.0	0.0	1.5931
graphique	ADJ	0.0	0.0	0.185	0.911	0.0	0.0	0.6892
graphologue	NOM	0.0	0.0	0.6378	0.0	0.0	0.0	0.0592
gras	ADJ	60.3932	19.0897	10.037	0.0	0.0	111.7223	22.9227
grassement	ADV	0.0	0.0	0.0	0.0	3.4423	0.0	0.0657
gratification	NOM	0.0	0.0	0.0	0.0	6.0005	0.0	0.1431
gratifier	VER	0.0	0.0	0.0	0.0	0.0	12.833	0.0975
gratin	NOM	0.0	0.0	0.6378	0.0	6.0005	0.0	0.7013
gratiné	ADJ	0.0	0.0	0.4665	0.0	0.0	0.0	0.0433
gratitude	NOM	0.0	4.0343	0.0	0.911	6.0005	0.0	1.9387
gratte-ciel	NOM	0.0	0.0	0.6378	0.0	0.0	0.0	0.0592
gratter	VER	0.0	4.2623	2.2924	0.0	0.0	0.0	2.3668
gratuit	ADJ	45.7774	17.9307	97.762	14.1801	54.0583	0.0	52.0809
gratuitement	ADV	0.0	0.4664	12.2787	0.0	6.0005	0.0	4.7575
gratuité	NOM	0.0	0.4664	10.4092	1.2705	6.0005	0.0	5.9859
gravats	NOM	0.0	0.0	0.0	0.0	6.0005	0.0	0.1431
grave	ADJ	155.9458	49.987	93.6109	23.9192	65.168	38.4989	83.7804
grave	NOM	1.1556	4.1986	0.0	0.0	0.0	0.0	1.4456
gravement	ADV	0.0	0.3851	9.7392	8.4014	0.0	0.0	5.3581
graver	VER	0.0	0.0	0.3906	6.4611	0.0	0.0	1.2159
graveur	NOM	0.0	0.0	0.6378	0.0	0.0	0.0	0.0592
gravier	NOM	0.0	0.0	0.0	2.6036	0.0	0.0	0.07
gravir	VER	0.0	0.0	3.5957	8.1049	3.4423	0.0	3.4243
graviter	VER	0.0	0.0	0.2504	0.0	3.4423	0.0	0.5795
gravité	NOM	0.0	0.0	12.2771	1.2705	6.0005	12.833	5.9323
gravure	NOM	0.0	0.0	0.0	0.0	3.4423	0.0	0.0657
gravé	ADJ	0.0	0.0	0.0	0.0	12.0009	0.0	0.2862
grec	NOM	0.0	0.0	0.3906	0.0	4.139	0.0	0.6261
grec	ADJ	1.2635	0.1937	3.7062	0.0	0.0	0.0	2.4009
grecque	ADJ	2.5271	1.2456	3.5051	0.911	0.0	0.0	4.5072
green	NOM	0.0	0.0	1.757	0.0	0.0	0.0	0.1632
greffe	NOM	0.0	0.0	0.0	0.0	0.0	12.833	0.0975
greffer	VER	0.0	0.0	0.6378	0.0	0.0	19.328	0.7013
greffier	NOM	0.0	0.0	0.4665	1.3018	0.0	0.0	0.6671
grenier	NOM	2.2246	8.9725	0.487	0.911	18.0014	0.0	7.9147
grenouille	NOM	7.7628	0.0	7.657	0.0	3.4423	0.0	4.611
gribiche	ADJ	0.0	0.0	0.0	0.0	3.4423	0.0	0.0657
grief	ADJ	0.0	0.0	0.0	0.0	3.4423	4.0185	0.1315
griffe	NOM	0.0	0.0	0.0	8.2319	0.0	0.0	0.6322
griffer	VER	0.0	0.0	0.0	0.0	6.0005	0.0	0.1431
griffure	NOM	0.0	0.0	0.0	2.2839	0.0	0.0	0.0614
grignoter	VER	1.1764	0.0	0.6378	0.0	0.0	0.0	0.5777
grillage	NOM	0.0	0.0	0.0	1.3018	0.0	0.0	0.035
grillager	VER	0.0	0.0	0.0	0.0	3.4423	0.0	0.0657
grille	NOM	0.0	0.2129	12.3564	1.3018	26.3397	19.328	10.1236
grille-pain	NOM	0.0	0.0	0.0	4.5679	0.0	0.0	0.1228
griller	VER	0.171	0.6228	0.4665	0.0	0.0	0.0	0.6815
grillé	ADJ	21.4226	0.2129	0.4665	2.5411	0.0	0.0	6.2188
grimace	NOM	1.1123	0.0	0.0	0.0	0.0	0.0	0.0204
grimage	NOM	0.0	0.0	0.0	1.3018	0.0	0.0	0.035
grimper	VER	1.1764	20.4215	3.5522	16.4574	20.6179	0.0	14.0995
grincement	NOM	0.5504	0.2129	0.0	1.3018	0.0	0.0	1.2944
grincer	VER	0.0	0.0	0.438	0.0	0.0	0.0	0.0652
grinçant	ADJ	1.1764	0.0	0.0	2.2839	0.0	0.0	0.5734
griot	NOM	0.0	0.0	0.0	0.0	6.8846	0.0	0.1315
grippe	NOM	0.0	1.2017	2.5994	1.2705	144.0111	0.0	18.3246
gris	NOM	7.9383	0.0	0.4317	1.8983	0.0	0.0	2.357
gris	ADJ	47.7076	36.4349	71.1205	111.3796	41.1274	0.0	64.6161
grisaille	NOM	0.0	0.0	5.1436	4.5679	4.139	0.0	3.599
grisant	ADJ	0.0	0.0	0.6378	0.0	0.0	0.0	0.0592
griser	VER	0.0	0.0	0.6378	0.0	0.0	0.0	0.0592
grisonnant	ADJ	0.0	0.0	0.0	1.3018	0.0	0.0	0.035
grivois	ADJ	0.0	0.0	0.0	2.2839	0.0	0.0	0.0614
grièvement	ADV	0.0	0.3721	0.2331	0.0	0.0	0.0	0.417
grognement	NOM	0.0	0.0	0.3933	0.0	0.0	0.0	0.0365
grogner	VER	0.0	0.0	0.1243	0.0	0.0	0.0	0.0408
grondement	NOM	0.0	0.0	0.0	1.2705	0.0	0.0	0.0342
gronder	VER	0.0	0.0	0.5531	0.0	0.0	0.0	0.0514
gros	NOM	0.0	0.5137	7.326	1.8983	0.0	0.0	3.7669
gros	ADV	0.4856	0.5137	2.4351	0.911	0.0	0.0	4.3395
gros	ADJ	201.1457	412.8965	338.6144	366.5889	147.5659	38.656	312.0165
grossesse	NOM	0.0	0.0	1.9134	0.0	6.8846	0.0	1.7072
grosseur	NOM	0.0	4.4786	0.0	0.0	0.0	0.0	0.6391
grossier	ADJ	0.0	0.0	3.7679	9.1127	20.024	0.0	4.4409
grossir	VER	0.0	1.0275	0.487	2.5411	0.0	0.0	2.2838
grossièrement	ADV	0.0	0.0	0.3933	0.0	0.0	0.0	0.0365
grossièreté	NOM	0.0	0.0	0.0	0.911	0.0	0.0	0.0652
grosso	ADV	0.0	0.0	0.0	1.2705	3.4423	0.0	0.6465
grotesque	ADJ	0.0	0.0	0.0	0.8102	6.8846	0.0	1.0111
grotte	NOM	45.6409	69.5	3.1409	0.0	18.0014	0.0	28.6857
grouillant	ADJ	0.0	0.0	1.2756	0.0	0.0	0.0	0.1185
groupe	NOM	72.5165	217.2668	199.1319	178.668	222.6457	363.357	205.4735
groupement	NOM	0.0	0.0	0.5531	0.0	3.4423	0.0	0.6976
grouper	VER	0.0	4.9127	0.3906	0.0	0.0	0.0	1.5267
gruyère	NOM	0.0	0.6008	0.0	0.0	0.0	0.0	0.0456
grâce	NOM	104.1569	177.1266	258.7876	147.5537	500.2603	277.2274	235.3798
grève	NOM	0.5987	6.8826	111.1478	1.2705	0.0	0.0	32.0972
gré	NOM	0.0	0.0	3.5156	0.0	10.3269	19.328	3.4735
gréco-latin	ADJ	0.0	0.0	0.0	0.0	3.4423	0.0	0.0657
grégaire	ADJ	0.0	0.0	0.0	0.0	6.0005	0.0	0.1431
gréviste	NOM	0.0	0.0	1.9664	0.0	0.0	0.0	0.1826
grêle	ADJ	0.0	0.0	3.5101	0.0	0.0	0.0	0.665
guarani	NOM	0.0	0.0	0.0	0.0	0.0	19.328	0.1431
guatémaltèque	ADJ	0.0	0.0	0.0	0.0	6.8846	0.0	0.1315
guerre	NOM	74.5634	142.5803	107.1463	108.806	168.8417	56.7717	130.2985
guerrier	ADJ	0.0	13.9598	2.5235	0.0	0.0	0.0	3.6679
guerrier	NOM	0.0	7.7252	0.8759	0.0	0.0	12.833	3.1729
guerroyer	VER	0.0	0.0	0.4317	0.0	0.0	0.0	0.0401
guetter	VER	0.0	0.6228	3.5861	0.0	41.1274	0.0	5.2732
gueule	NOM	0.0	0.0	10.2528	0.0	3.4423	0.0	3.1055
gueuler	VER	0.0	0.0	0.0	0.0	3.4423	0.0	0.0657
gueuze	NOM	0.9464	0.0	0.0	0.0	0.0	0.0	0.0276
guichet	NOM	0.9051	0.0	2.5994	0.0	10.3269	0.0	3.724
guidage	NOM	0.0	0.0	0.0	0.0	6.0005	0.0	0.1431
guide	NOM	4.7357	4.7328	44.7911	0.0	80.3223	0.0	24.3677
guider	VER	0.0	21.3449	30.4248	0.911	12.0009	56.7717	19.2927
guidon	NOM	0.0	0.0	0.6378	0.0	0.0	0.0	0.0592
guignol	NOM	0.0	0.0	0.0	0.0	0.0	19.328	0.1431
guillotine	NOM	0.0	1.2017	0.5531	0.8102	6.0005	0.0	2.8494
guillotiner	VER	0.0	0.0	0.5531	0.0	0.0	0.0	0.0514
guinguette	NOM	0.0	0.0	0.6378	0.0	0.0	0.0	0.0592
guirlande	NOM	0.6291	0.0	0.0	0.0	0.0	0.0	0.0116
guise	NOM	0.0	0.0	3.5636	8.3751	0.0	0.0	2.5393
guitare	NOM	11.0724	13.4166	3.5822	1.2705	0.0	0.0	8.1563
guitariste	NOM	0.0	6.6325	0.0	0.0	0.0	0.0	0.968
guyanais	ADJ	0.9121	0.0	0.438	0.0	0.0	0.0	0.5153
guère	ADV	0.0	0.0	20.6647	15.7322	65.9532	202.2974	22.0576
guéret	NOM	0.9051	0.0	0.0	0.0	0.0	0.0	0.0456
guéridon	NOM	0.0	0.0	0.0	9.1403	0.0	0.0	0.6546
guérir	VER	0.0	41.6608	63.1087	9.1403	8.2781	0.0	32.5395
guérison	NOM	0.0	0.0	0.8759	0.0	0.0	0.0	0.1304
guérissable	ADJ	0.0	0.0	0.0	0.0	4.139	0.0	0.0975
guérisseur	ADJ	0.0	0.0	0.487	0.0	0.0	0.0	0.0452
guérisseur	NOM	0.0	0.0	0.9741	0.0	0.0	0.0	0.0905
guêpe	NOM	0.8075	0.0	0.185	0.0	0.0	4.0185	1.4286
gym	NOM	4.9069	0.0	0.6378	2.2839	0.0	0.0	1.2702
gymnastique	NOM	6.9049	0.0	0.3906	0.0	6.0005	12.833	2.8508
gâcher	VER	0.0	3.847	18.0164	4.5679	3.4423	0.0	9.5107
gâteau	NOM	121.1756	66.794	5.92	1.7933	0.0	0.0	37.6656
gâter	VER	0.8075	0.0	9.9698	2.2839	4.139	0.0	5.3865
gène	NOM	0.0	0.6228	1.1101	2.2839	6.0005	131.5034	7.7329
géant	NOM	7.2715	36.225	23.7751	0.911	6.8846	12.833	22.9266
gémir	VER	0.0	0.4157	12.5049	0.0	6.0005	0.0	4.7581
gémissement	NOM	0.0	0.2891	5.8701	0.0	0.0	0.0	2.2639
génial	ADJ	106.5215	58.1115	31.5348	0.0	0.0	0.0	38.6757
génie	NOM	0.0	0.1865	20.4395	14.4942	65.168	0.0	15.1904
génocide	NOM	0.0	0.0	0.0	0.0	0.0	19.328	0.1431
génome	NOM	0.0	0.0	0.0	0.0	0.0	70.4779	1.3453
général	ADJ	117.9194	156.5626	168.9334	222.0244	475.6237	254.8634	217.3472
général	NOM	17.1159	6.5811	2.6693	0.0	39.722	78.971	15.1251
généralement	ADV	0.9121	17.7945	33.0283	19.2521	108.1167	86.9662	32.7068
généralisation	NOM	0.0	0.0	0.0	0.0	19.861	0.0	0.7262
généraliser	VER	1.1764	0.0	12.895	0.0	40.0479	38.656	9.8458
généraliste	NOM	0.0	0.0	0.0	1.2705	0.0	0.0	0.0342
généraliste	ADJ	0.0	0.0	0.0	3.8116	4.139	0.0	0.7701
généralité	NOM	0.0	0.5137	0.0	0.0	0.0	0.0	0.0248
générateur	NOM	0.7319	0.0	0.0	0.0	0.0	0.0	0.0134
générateur	ADJ	0.0	0.0	0.5531	0.0	0.0	0.0	0.0514
génération	NOM	36.4125	14.6603	101.9673	45.0891	239.2874	260.8986	88.48
générer	VER	0.0	0.0	0.4665	2.2839	20.024	19.328	3.2923
généreusement	ADV	0.0	0.0	0.0	1.2705	0.0	0.0	0.0342
généreux	ADJ	27.306	30.4377	11.7823	2.2839	0.0	0.0	16.4868
générique	NOM	0.0	0.0	0.0	0.0	3.4423	19.328	0.7219
générosité	NOM	0.0	6.7083	1.1062	8.3751	4.139	0.0	6.1253
généticien	NOM	0.0	0.0	0.185	0.0	0.0	8.037	1.0381
génétique	ADJ	0.0	0.0	0.74	14.0086	6.0005	8.037	6.5256
génétique	NOM	0.0	0.0	2.4712	0.0	0.0	43.8345	2.4931
génétiquement	ADV	0.0	0.0	0.0	0.0	4.139	0.0	0.0975
géographe	NOM	0.0	0.0	0.5531	0.0	0.0	19.328	0.6721
géographie	NOM	1.1556	0.1865	3.5051	1.8983	6.0005	19.328	4.8853
géographique	ADJ	0.171	0.0	0.487	6.4469	40.1357	25.6659	5.746
géographiquement	ADV	0.0	0.0	0.5531	0.0	3.4423	0.0	0.6976
géologie	NOM	0.0	0.0	0.5531	0.0	0.0	0.0	0.0514
géologique	ADJ	0.0	0.0	0.2504	0.0	3.4423	19.328	1.3039
géologue	NOM	0.0	0.0	0.0	0.0	20.6179	0.0	0.7913
géométral	ADJ	0.0	0.0	0.0	2.2839	0.0	0.0	0.0614
géométrie	NOM	0.0	0.3874	0.438	0.911	4.139	0.0	2.0179
géométrique	ADJ	1.1008	0.0	3.5715	0.0	0.0	0.0	1.0381
géopolitique	ADJ	0.0	0.0	0.6378	0.0	0.0	0.0	0.0592
gérable	ADJ	0.0	0.0	0.0	0.0	4.139	0.0	0.0975
géranium	NOM	0.0	0.0	0.2504	0.0	0.0	0.0	0.0233
gérer	VER	0.0	0.4157	38.7241	4.5679	77.1586	19.328	21.3894
gênant	ADJ	0.0	3.9526	3.4715	2.2839	3.4423	0.0	4.33
gêne	NOM	0.0	0.0	0.487	0.0	0.0	0.0	0.0452
gêner	VER	1.1764	14.2539	23.5371	22.9509	20.6179	12.833	23.2048
gêné	ADJ	0.0	6.7862	7.5926	9.5296	0.0	0.0	6.853
gîte	NOM	0.9051	6.1636	0.0	0.0	6.0005	0.0	2.2481
habile	ADJ	0.9051	4.7883	3.1766	0.8102	0.0	12.833	5.4321
habilement	ADV	0.0	0.5213	0.4317	0.0	0.0	0.0	0.6384
habileté	NOM	0.0	0.6111	0.8634	10.8364	0.0	0.0	3.5605
habilité	NOM	0.0	0.0	0.0	0.8102	0.0	0.0	0.0218
habillement	NOM	0.0	0.0	0.5531	0.0	0.0	0.0	0.0514
habiller	VER	162.8978	195.6934	75.5739	163.1472	6.0005	0.0	127.9681
habillé	ADJ	0.0	0.0	0.0	9.5296	0.0	0.0	0.6889
habit	NOM	1.1764	12.7345	45.9835	3.9054	0.0	0.0	19.9201
habitable	ADJ	0.0	0.0	0.0	1.2705	0.0	0.0	0.0342
habitant	NOM	181.6074	180.6944	161.9542	90.6479	102.8605	0.0	146.2235
habitat	NOM	0.0	0.4157	9.9696	2.2839	0.0	0.0	4.0983
habitation	NOM	0.9051	17.4908	29.0494	2.2839	13.7692	19.328	22.0852
habiter	VER	1186.8047	366.2522	112.1697	326.0786	73.6669	0.0	325.3053
habitude	NOM	109.1629	314.6505	242.7354	242.1634	90.442	56.7717	222.1454
habituel	ADJ	1.2635	17.6059	12.2874	6.1497	12.0009	0.0	13.6004
